candidate,provider,preset,model,case,kind,seconds,exit,score,notes,output,stderr
ollama-mail,ollama,mail,,long_telegram,minimal,3.81,0,8,"missing:Telegram,missing:local app","Dosyalar kısmındaki kart ve liste görünümü ile diğer klasörlerdeki ayarlar, toplu seçim ve zipleme gibi özelliklerin müşteri kaynaklarındaki dosyalarda da benzer şekilde çalışıp çalışmadığını kontrol edebilir miyiz? /  / Bu tarz mesajları daha düzenli hale getirmenin mümkün olup olmadığını düşünüyorsunuz. Okunurluğu bozmadan, tırnaklama, virgül, nokta gibi detayları düzeltecek bir yerel uygulama veya eklenti arıyorsunuz. Grammerly benzeri, arka planda çalışan küçük bir LLM ile çalışabilecek ve v",
ollama-musteri,ollama,musteri,,messy_feature_question,minimal,2.05,0,9,missing:olabilir,"Dosyalar kısmındaki kart ve liste görünümü ile diğer klasörlerdeki ayarlar, toplu seçim, zipleme gibi davranışlar müşteri kaynaklarındaki dosyalarda mevcut değil. Bu özelliklerin müşteri kaynaklarında da olabilmesi mümkün mü?",
ollama-musteri,ollama,musteri,,revize_timecode,chat,1.67,0,4,"missing:2.04,missing:2.27,forbid:2:04,forbid:2:27",Gözden kaçmaması için yazıyorum; revizyonda 2:04 - 2:27 aralığı çıkarılmış. Bu sebeple ilgili bölümü çıkardık. Gerekirse yeniden müdahale edebiliriz.,
ollama-musteri,ollama,musteri,,mail_brief,mail,1.92,0,10,,"Fatih Bey merhaba, /  / 6 Ağustos tarihli GNÇYTNK organizasyonu için fotoğraf, video ve backstage desteğine yönelik ihtiyacımız bulunuyor. Detayları aşağıda paylaşıyorum. /  / Bütçe ve uygunluğunuz için dönüşünüzü rica ederiz. /  / Teşekkürler,",
ollama-musteri,ollama,musteri,,negation_risk,minimal,1.17,0,8,"missing:göndermeyelim,missing:onay","Bu dosyaların henüz müşteriye gönderilmemesi, ancak ekibin incelemesi için burada paylaşılması uygun olacaktır.",
ollama-musteri,ollama,musteri,,question_not_answer,minimal,1.46,0,9,missing:yok mu,"Bu ekranda toplu seçim özelliği mevcut mu? Yoksa ben bu özelliği göremediğim için mi böyle görünüyor, yoksa müşteri kaynaklarında farklı bir şekilde mi çalışıyor?",
ollama-musteri,ollama,musteri,,long_telegram,minimal,4.5,0,10,,"Dosyalar kısmındaki kart ve liste görünümü ile diğer klasörlerdeki ayarlar, toplu seçim, zipleme gibi davranışlar müşteri kaynaklarındaki dosyalarda bulunmuyor. Bu özellikler olabiliyor mu? /  / Bu benim normal Telegram'daki bir mesajım. Sence bu tarz mesajları yazdığımda metni daha düzenli hale getirmesi mümkün mü? Okunurluğu bozmadan en azından tırnaklama, virgül, nokta gibi işlemleri yapan bir local app var mı? Yazdığımı düzeltecek bir eklenti gibi, Grammarly'nin evrensel hali gibi küçük bir ",
qwen3-14b,ollama,duzelt,qwen3:14b,messy_feature_question,minimal,19.66,0,8,"missing:olabilir,slow>10s","Dosyalar kısmındaki kart ve liste görünümünü ve diğer kalan klasördeki ayarlar toplu seçim zipleme vb. davranışları müşteri kaynaklarındaki dosyalarda yok, aynı özellikler olabiliyor mu?",
qwen3-14b,ollama,duzelt,qwen3:14b,revize_timecode,chat,29.94,0,8,"slow>10s,slow>25s","gözden kaçmasın diye yazıyorum, revizyonda 2.04-2.27 arası çıksın denmiş, biz o yüzden çıkardık; gerekirse yine müdahale ederiz.",
qwen3-14b,ollama,duzelt,qwen3:14b,negation_risk,minimal,35.43,0,8,"slow>10s,slow>25s",Şu dosyaları müşteriye göndermeyelim; daha onay gelmedi. Ama ekip görsün diye buraya atayalım.,
deepseek-r1-14b,ollama,duzelt,deepseek-r1:14b,messy_feature_question,minimal,28.13,0,7,"missing:olabilir,slow>10s,slow>25s","Dosyalar kısmındaki kart ve liste görünümünü ve diğer kalan klasördeki ayarlar toplu seçim ve zipleme gibi davranışları, müşteri kaynaklarındaki dosyalarda yok; aynı özellikleri oluşturabilirim.",
deepseek-r1-14b,ollama,duzelt,deepseek-r1:14b,revize_timecode,chat,13.58,0,9,slow>10s,gözden kaçmasın diye yazılarım revize edilmiş 2.04-2.27 arası çıksın denmiş; biz o yüzden çıkardık. Gerekirse yine müdahale ederiz.,
deepseek-r1-14b,ollama,duzelt,deepseek-r1:14b,negation_risk,minimal,8.17,0,9,missing:göndermeyelim,"Şu dosyaları müşteriye göndermemeli, daha onay gelmedi ama ekip görsün diye buraya atmıştık",
codex-duzelt,codex,duzelt,,messy_feature_question,minimal,17.61,0,8,"missing:olabilir,slow>10s","Dosyalar kısmındaki kart ve liste görünümü, diğer kalan klasördeki ayarlar, toplu seçim, zipleme vesaire davranışları müşteri kaynaklarındaki dosyalarda yok. Aynı özellikler olabiliyor mu?",
codex-duzelt,codex,duzelt,,revize_timecode,chat,18.79,0,9,slow>10s,"Gözden kaçmasın diye yazıyorum. Revizede 2.04-2.27 arası çıksın denmiş, biz o yüzden çıkardık. Gerekirse yine müdahale ederiz.",
codex-duzelt,codex,duzelt,,mail_brief,mail,12.91,0,9,slow>10s,"Fatih Bey selamlar, 6 Ağustos GençYTNK için ekip lazım; foto, video, backstage falan. Bütçe ve uygunluk rica edeceğiz. Detayları aşağıya yazdım.",
codex-duzelt,codex,duzelt,,negation_risk,minimal,9.5,0,10,,"Şu dosyaları müşteriye göndermeyelim, daha onay gelmedi ama ekip görsün diye buraya atalım.",
codex-chat,codex,chat,,revize_timecode,chat,11.57,0,9,slow>10s,"Gözden kaçmasın diye yazıyorum: revizede 2.04 2.27 arası çıksın denmişti, biz de o yüzden çıkardık. Gerekirse yine müdahale ederiz.",
codex-chat,codex,chat,,question_not_answer,minimal,8.06,0,10,,"Bu ekranda toplu seçim yok mu? Varsa ben mi göremedim, yoksa müşteri kaynaklarında farklı mı çalışıyor?",
codex-mail,codex,mail,,mail_brief,mail,10.76,0,9,slow>10s,"Fatih Bey selamlar, /  / 6 Ağustos’ta GençYTNK için fotoğraf, video ve backstage çekimleri kapsamında ekibe ihtiyacımız olacak. Bütçe ve uygunluk bilginizi rica ederiz. Detayları aşağıda paylaştım.",
codex-mail,codex,mail,,negation_risk,minimal,7.98,0,10,,Bu dosyaları henüz onay gelmediği için müşteriye göndermeyelim. Ekibin görmesi için buraya paylaşalım.,
opencode-duzelt,opencode,duzelt,,messy_feature_question,minimal,45.58,0,6,"missing:olabilir,slow>10s,slow>25s,slow>45s","Dosyalar kısmındaki kart ve liste görünümü ve diğer kalan klasördeki ayarlar, toplu seçim, zipleme vesaire davranışları müşteri kaynaklarındaki dosyalarda yok. Aynı özellikler olabiliyor mu?",
opencode-duzelt,opencode,duzelt,,revize_timecode,chat,75.01,timeout,0,timeout,,
claude-duzelt,claude,duzelt,,messy_feature_question,minimal,3.28,1,0,nonzero_exit,,
gemini-duzelt,gemini,duzelt,,messy_feature_question,minimal,3.93,1,0,nonzero_exit,,
